id,name,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,timezone_name,type,source
1327,Salon-de-Provence (BA 701) Air Base,Salon,France,\N,LFMY,43.60639954,5.109250069,195,1,Europe/Paris,airport,OurAirports
1328,Lézignan-Corbières Airfield,Lezignan-corbieres,France,\N,LFMZ,43.1758,2.73417,207,1,Europe/Paris,airport,OurAirports
1329,Mende-Brenoux Airfield,Mende,France,MEN,LFNB,44.502102,3.53282,3362,1,Europe/Paris,airport,OurAirports
1330,Carpentras Airport,Carpentras,France,\N,LFNH,44.02980042,5.07806015,394,1,Europe/Paris,airport,OurAirports
1331,Avord (BA 702) Air Base,Avord,France,\N,LFOA,47.053299,2.6325,580,1,Europe/Paris,airport,OurAirports
1332,Paris Beauvais Tillé Airport,Beauvais,France,BVA,LFOB,49.45439911,2.112780094,359,1,Europe/Paris,airport,OurAirports
1333,Châteaudun (BA 279) Air Base,Chateaudun,France,\N,LFOC,48.058102,1.37662,433,1,Europe/Paris,airport,OurAirports
1334,Saumur-Saint-Florent Airport,Saumur,France,\N,LFOD,47.256802,-0.115142,269,1,Europe/Paris,airport,OurAirports
1335,Évreux-Fauville (BA 105) Air Base,Evreux,France,EVX,LFOE,49.02870178,1.219859958,464,1,Europe/Paris,airport,OurAirports
1336,Le Havre Octeville Airport,Le Havre,France,LEH,LFOH,49.53390121,0.088055998,313,1,Europe/Paris,airport,OurAirports
1337,Abbeville,Abbeville,France,XAB,LFOI,50.143501,1.831891,220,1,Europe/Paris,airport,OurAirports
1338,Orléans-Bricy (BA 123) Air Base,Orleans,France,ORE,LFOJ,47.9878006,1.760560036,412,1,Europe/Paris,airport,OurAirports
1339,Châlons-Vatry Airport,Chalons,France,XCR,LFOK,48.77333333,4.206111111,587,1,Europe/Paris,airport,OurAirports
1340,Rouen Airport,Rouen,France,URO,LFOP,49.38420105,1.174800038,512,1,Europe/Paris,airport,OurAirports
1341,Tours-Val-de-Loire Airport,Tours,France,TUF,LFOT,47.43220139,0.727605999,357,1,Europe/Paris,airport,OurAirports
1342,Cholet Le Pontreau Airport,Cholet,France,CET,LFOU,47.08209991,-0.87706399,443,1,Europe/Paris,airport,OurAirports
1343,Laval-Entrammes Airport,Laval,France,LVA,LFOV,48.03139877,-0.742986023,330,1,Europe/Paris,airport,OurAirports
1344,Orléans-Saint-Denis-de-l'Hôtel Airport,Orleans,France,\N,LFOZ,47.8969,2.16333,396,1,Europe/Paris,airport,OurAirports
1345,Paris-Le Bourget Airport,Paris,France,LBG,LFPB,48.9693985,2.441390038,218,1,Europe/Paris,airport,OurAirports
1346,Creil Air Base,Creil,France,CSF,LFPC,49.25350189,2.519140005,291,1,Europe/Paris,airport,OurAirports
1347,Charles de Gaulle International Airport,Paris,France,CDG,LFPG,49.012798,2.55,392,1,Europe/Paris,airport,OurAirports
1348,Coulommiers-Voisins Airport,Coulommiers,France,\N,LFPK,48.83769989,3.016119957,470,1,Europe/Paris,airport,OurAirports
1349,Melun-Villaroche Air Base,Melun,France,\N,LFPM,48.60469818,2.671119928,302,1,Europe/Paris,airport,OurAirports
1350,Toussus-le-Noble Airport,Toussous-le-noble,France,TNF,LFPN,48.75189972,2.106189966,538,1,Europe/Paris,airport,OurAirports
1351,Paris-Orly Airport,Paris,France,ORY,LFPO,48.7233333,2.3794444,291,1,Europe/Paris,airport,OurAirports
